id,reference,species,group,guild,biome,distance,human_dens,body_mass,treatment_n,control_n,treatment_mean,control_mean,treatment_sd,control_sd,rr,var
183,"Blom et al., 2005",Pan troglodytes,Mammals,Frug,Tropical forest,10.5,5.19,42.5,3,12,0.05,0.04,0.224,0.2,0.223,8.75
184,"Blom et al., 2005",Philantomba monticola,Mammals,Frug,Tropical forest,10.5,5.19,4.9,3,12,0.05,0.15,0.224,0.387,-1.098,7.222
185,"Blom et al., 2005",Cercocebus agilis,Mammals,Frug,Tropical forest,4.3,5.19,8,6,12,0.02,0.05,0.141,0.224,-0.916,9.997
186,"Blom et al., 2005",Cercopithecus cephus,Mammals,Frug,Tropical forest,4.3,5.19,3.48,6,12,0.05,0.08,0.224,0.283,-0.47,4.374
187,"Blom et al., 2005",Cercopithecus nictitans,Mammals,Frug,Tropical forest,4.3,5.19,5.8,6,12,0.18,0.3,0.424,0.548,-0.51,1.204
188,"Blom et al., 2005",Cercopithecus pogonias,Mammals,Frug,Tropical forest,4.3,5.19,3.76,6,12,0.06,0.16,0.245,0.4,-0.98,3.298
189,"Blom et al., 2005",Gorilla gorilla,Mammals,Herb,Tropical forest,4.3,5.19,131.63,6,12,0.18,0.88,0.424,0.938,-1.586,1.021
190,"Blom et al., 2005",Lophocebus albigena,Mammals,Omn,Tropical forest,4.3,5.19,7.69,6,12,0.03,0.25,0.173,0.5,-2.118,5.889
191,"Blom et al., 2005",Loxodonta africana,Mammals,Herb,Tropical forest,4.3,5.19,3940.03,6,12,2.43,16.32,1.559,4.04,-1.903,0.074
192,"Blom et al., 2005",Pan troglodytes,Mammals,Frug,Tropical forest,4.3,5.19,42.5,6,12,0.02,0.04,0.141,0.2,-0.693,10.414
193,"Blom et al., 2005",Philantomba monticola,Mammals,Frug,Tropical forest,4.3,5.19,4.9,6,12,0.05,0.15,0.224,0.387,-1.098,3.889
194,"Bowkett et al., 2008",Cephalophus harveyi,Mammals,Herb,Montane forest,1.95,16.97,14.5,6,4,0.177,0.137,0.173,0.145,0.262,0.441
195,"Bowkett et al., 2008",Cephalophus spadix,Mammals,Herb,Montane forest,1.95,16.97,56,6,4,0.006,0.003,0.01,0.006,0.629,1.405
196,"Bowkett et al., 2008",Neotragus moschatus,Mammals,Herb,Montane forest,1.95,16.97,6.5,6,4,0.074,0.059,0.087,0.078,0.23,0.671
197,"Bowkett et al., 2008",Cephalophus harveyi,Mammals,Herb,Montane forest,5.2,16.97,14.5,3,2,0.265,0.225,0.023,0.074,0.163,0.056
198,"Bowkett et al., 2008",Cephalophus harveyi,Mammals,Herb,Montane forest,6.6,16.97,14.5,3,2,0.27,0.225,0.181,0.074,0.182,0.203
199,"Bowkett et al., 2008",Cephalophus harveyi,Mammals,Herb,Montane forest,7.37,16.97,14.5,5,2,0.215,0.225,0.084,0.074,-0.045,0.084
200,"Bowkett et al., 2008",Cephalophus harveyi,Mammals,Herb,Montane forest,8.45,16.97,14.5,2,2,0.259,0.225,0.03,0.074,0.139,0.06
201,"Bowkett et al., 2008",Cephalophus spadix,Mammals,Herb,Montane forest,5.2,16.97,56,3,2,0.214,0.048,0.37,0.047,1.498,1.481
202,"Bowkett et al., 2008",Cephalophus spadix,Mammals,Herb,Montane forest,6.6,16.97,56,3,2,0.217,0.048,0.375,0.047,1.511,1.481
203,"Bowkett et al., 2008",Cephalophus spadix,Mammals,Herb,Montane forest,7.37,16.97,56,5,2,0.002,0.048,0.004,0.047,-3.168,1.449
204,"Bowkett et al., 2008",Cephalophus spadix,Mammals,Herb,Montane forest,8.45,16.97,56,2,2,0.008,0.048,0.011,0.047,-1.799,1.486
205,"Bowkett et al., 2008",Neotragus moschatus,Mammals,Herb,Montane forest,5.2,16.97,6.5,3,2,4.139,0.035,1.379,0.033,4.773,0.484
206,"Bowkett et al., 2008",Neotragus moschatus,Mammals,Herb,Montane forest,6.6,16.97,6.5,3,2,2.695,0.035,2.64,0.033,4.344,0.767
207,"Bowkett et al., 2008",Neotragus moschatus,Mammals,Herb,Montane forest,7.37,16.97,6.5,5,2,1.667,0.035,1.6,0.033,3.864,0.631
208,"Bowkett et al., 2008",Neotragus moschatus,Mammals,Herb,Montane forest,8.45,16.97,6.5,2,2,0.058,0.035,0.06,0.033,0.504,0.975
209,"Brickle, 2002",Pavo muticus,Birds,Inver,Tropical forest,1.5,7.85,2.21,32,32,0.48,1.79,1.142,5.202,-1.311,0.441
210,"Brickle, 2002",Pavo muticus,Birds,Inver,Tropical forest,3.5,7.85,2.21,32,32,0.9,1.79,1.776,5.202,-0.685,0.386
211,"Brickle, 2002",Pavo muticus,Birds,Inver,Tropical forest,5.5,7.85,2.21,32,32,1.59,1.79,3.68,5.202,-0.117,0.431
212,"Brickle, 2002",Pavo muticus,Birds,Inver,Tropical forest,7.5,7.85,2.21,32,32,1.48,1.79,3.934,5.202,-0.189,0.485
213,"Brickle, 2002",Pavo muticus,Birds,Inver,Tropical forest,9.5,7.85,2.21,32,32,1.81,1.79,7.486,5.202,0.012,0.799
214,"Cabassu, 2010",Crax rubra,Birds,Frug,Tropical forest,1,0.73,4.13,7,11,0.054,0.235,0.232,0.485,-1.471,3.052
215,"Cabassu, 2010",Crax rubra,Birds,Frug,Tropical forest,3,0.73,4.13,7,11,0.054,0.235,0.232,0.485,-1.471,3.052
216,"Cabassu, 2010",Crax rubra,Birds,Frug,Tropical forest,5,0.73,4.13,7,11,0.054,0.235,0.232,0.485,-1.471,3.052
217,"Cabassu, 2010",Penelope purpurascens,Birds,Frug,Tropical forest,1,0.73,2.06,7,11,0.054,0.333,0.232,0.577,-1.819,2.938
218,"Cabassu, 2010",Penelope purpurascens,Birds,Frug,Tropical forest,3,0.73,2.06,7,11,0.411,0.333,0.641,0.577,0.21,0.621
219,"Cabassu, 2010",Penelope purpurascens,Birds,Frug,Tropical forest,5,0.73,2.06,7,11,0.161,0.333,0.401,0.577,-0.727,1.162
220,"Cabassu, 2010",Cebus capuchinus,Mammals,Omn,Tropical forest,3,0.73,2.73,7,11,0.429,0.083,0.655,0.289,1.638,1.425
221,"Cabassu, 2010",Cebus capuchinus,Mammals,Omn,Tropical forest,5,0.73,2.73,7,11,0.089,0.083,0.089,0.289,0.07,1.235
222,"Cabassu, 2010",Cuniculus paca,Mammals,Omn,Tropical forest,1,0.73,8.17,7,11,0.107,0.409,0.327,0.64,-1.339,1.556
223,"Cabassu, 2010",Cuniculus paca,Mammals,Omn,Tropical forest,3,0.73,8.17,7,11,0.054,0.409,0.232,0.64,-2.03,2.887
224,"Cabassu, 2010",Cuniculus paca,Mammals,Omn,Tropical forest,5,0.73,8.17,7,11,0.054,0.409,0.054,0.64,-2.03,0.365
225,"Cabassu, 2010",Dasyprocta punctata,Mammals,Omn,Tropical forest,1,0.73,2.67,7,11,0.768,0.705,0.876,0.839,0.086,0.315
226,"Cabassu, 2010",Dasyprocta punctata,Mammals,Omn,Tropical forest,3,0.73,2.67,7,11,0.357,0.705,0.598,0.839,-0.679,0.529
227,"Cabassu, 2010",Dasyprocta punctata,Mammals,Omn,Tropical forest,5,0.73,2.67,7,11,0.375,0.705,0.375,0.839,-0.63,0.272
228,"Cabassu, 2010",Dasypus novemcinctus,Mammals,Inver,Tropical forest,1,0.73,4.2,7,11,0.571,1.53,0.756,1.237,-0.984,0.309
229,"Cabassu, 2010",Dasypus novemcinctus,Mammals,Inver,Tropical forest,3,0.73,4.2,7,11,1.232,1.53,1.11,1.237,-0.216,0.175
230,"Cabassu, 2010",Dasypus novemcinctus,Mammals,Inver,Tropical forest,5,0.73,4.2,7,11,1.036,1.53,1.036,1.237,-0.39,0.202
231,"Cabassu, 2010",Leopardus pardalis,Mammals,Carn,Tropical forest,3,0.73,11.9,7,11,0.018,0.038,0.134,0.195,-0.75,10.355
232,"Cabassu, 2010",Leopardus wiedii and Herpailurus yaguarondi,Mammals,Carn,Tropical forest,1,0.73,5.07,7,11,0.036,0.099,0.189,0.314,-1.014,4.927
233,"Cabassu, 2010",Leopardus wiedii and Herpailurus yaguarondi,Mammals,Carn,Tropical forest,3,0.73,5.07,7,11,0.071,0.099,0.267,0.314,-0.321,2.925
234,"Cabassu, 2010",Leopardus wiedii and Herpailurus yaguarondi,Mammals,Carn,Tropical forest,5,0.73,5.07,7,11,0.089,0.099,0.089,0.314,-0.098,1.066
235,"Cabassu, 2010",Mazama americana,Mammals,Herb,Tropical forest,1,0.73,22.8,7,11,0.054,0.167,0.232,0.408,-1.134,3.21
236,"Cabassu, 2010",Mazama americana,Mammals,Herb,Tropical forest,3,0.73,22.8,7,11,0.036,0.167,0.189,0.408,-1.54,4.549
237,"Cabassu, 2010",Mazama americana,Mammals,Herb,Tropical forest,5,0.73,22.8,7,11,0.036,0.167,0.036,0.408,-1.54,0.688
238,"Cabassu, 2010",Myrmecophaga tridactyla,Mammals,Inver,Tropical forest,1,0.73,22.33,7,11,0.018,0.038,0.134,0.195,-0.75,10.355
239,"Cabassu, 2010",Myrmecophaga tridactyla,Mammals,Inver,Tropical forest,3,0.73,22.33,7,11,0.018,0.038,0.134,0.195,-0.75,10.355
240,"Cabassu, 2010",Myrmecophaga tridactyla,Mammals,Inver,Tropical forest,5,0.73,22.33,7,11,0.018,0.038,0.018,0.195,-0.75,2.54
241,"Cabassu, 2010",Nasua narica,Mammals,Frug,Tropical forest,1,0.73,4.03,7,11,0.696,0.152,0.835,0.389,1.525,0.805
242,"Cabassu, 2010",Nasua narica,Mammals,Frug,Tropical forest,3,0.73,4.03,7,11,0.661,0.152,0.813,0.389,1.473,0.816
243,"Cabassu, 2010",Nasua narica,Mammals,Frug,Tropical forest,5,0.73,4.03,7,11,1.321,0.152,1.321,0.389,2.166,0.743
244,"Cabassu, 2010",Odocoileus virginianus,Mammals,Herb,Tropical forest,1,0.73,55.51,7,11,0.143,0.455,0.378,0.674,-1.156,1.2
245,"Cabassu, 2010",Odocoileus virginianus,Mammals,Herb,Tropical forest,3,0.73,55.51,7,11,0.161,0.455,0.401,0.674,-1.039,1.089
246,"Cabassu, 2010",Odocoileus virginianus,Mammals,Herb,Tropical forest,5,0.73,55.51,7,11,0.161,0.455,0.161,0.674,-1.039,0.343
247,"Cabassu, 2010",Panthera onca,Mammals,Carn,Tropical forest,3,0.73,100,7,11,0.089,0.121,0.299,0.348,-0.305,2.35
248,"Cabassu, 2010",Panthera onca,Mammals,Carn,Tropical forest,5,0.73,100,7,11,0.089,0.121,0.089,0.348,-0.305,0.893
249,"Cabassu, 2010",Pecari tajacu,Mammals,Herb,Tropical forest,1,0.73,21.27,7,11,1.089,0.576,1.044,0.759,0.638,0.289
250,"Cabassu, 2010",Pecari tajacu,Mammals,Herb,Tropical forest,3,0.73,21.27,7,11,1.929,0.576,1.389,0.759,1.209,0.232
251,"Cabassu, 2010",Pecari tajacu,Mammals,Herb,Tropical forest,5,0.73,21.27,7,11,2.214,0.576,2.214,0.759,1.347,0.301
252,"Cabassu, 2010",Puma concolor,Mammals,Carn,Tropical forest,1,0.73,51.6,7,11,0.054,0.174,0.232,0.417,-1.178,3.187
253,"Cabassu, 2010",Puma concolor,Mammals,Carn,Tropical forest,3,0.73,51.6,7,11,0.018,0.174,0.134,0.417,-2.273,8.48
254,"Cabassu, 2010",Puma concolor,Mammals,Carn,Tropical forest,5,0.73,51.6,7,11,0.036,0.174,0.036,0.417,-1.584,0.665
255,"Cabassu, 2010",Tamandua mexicana,Mammals,Inver,Tropical forest,1,0.73,4.21,7,11,0.018,0.023,0.134,0.151,-0.237,11.97
256,"Cabassu, 2010",Tamandua mexicana,Mammals,Inver,Tropical forest,3,0.73,4.21,7,11,0.054,0.023,0.232,0.151,0.859,6.677
257,"Cabassu, 2010",Tapirus bairdii,Mammals,Herb,Tropical forest,1,0.73,300,7,11,0.089,0.697,0.299,0.835,-2.053,1.73
258,"Cabassu, 2010",Tapirus bairdii,Mammals,Herb,Tropical forest,3,0.73,300,7,11,0.071,0.697,0.267,0.835,-2.276,2.133
259,"Cabassu, 2010",Tapirus bairdii,Mammals,Herb,Tropical forest,5,0.73,300,7,11,0.161,0.697,0.161,0.835,-1.466,0.273
260,"Cabassu, 2010",Tayassu pecari,Mammals,Frug,Tropical forest,3,0.73,32.23,7,11,0.018,0.091,0.134,0.302,-1.624,8.958
261,"Cabassu, 2010",Tayassu pecari,Mammals,Frug,Tropical forest,5,0.73,32.23,7,11,0.018,0.091,0.018,0.302,-1.624,1.143
262,"Chiarello, 1999",Callicebus personatus,Mammals,Omn,Atlantic forest,6.9,28.88,1.35,32,30,1.66,1.23,1.288,1.109,0.3,0.046
263,"Chiarello, 1999",Callithrix geoffroyi,Mammals,Omn,Atlantic forest,6.9,28.88,0.34,32,30,1.81,2.16,1.345,1.47,-0.176,0.033
264,"Chiarello, 1999",Dasyprocta leporina,Mammals,Omn,Atlantic forest,6.9,28.88,3.02,32,30,1.97,6.01,1.404,2.452,-1.115,0.021
265,"Chiarello, 1999",Dasypus novemcinctus,Mammals,Inver,Atlantic forest,6.9,28.88,4.2,32,30,0.12,0.12,0.346,0.346,0,0.538
266,"Chiarello, 1999",Didelphis aurita,Mammals,Carn,Atlantic forest,6.9,28.88,1.16,32,30,1.14,0.66,1.068,0.812,0.547,0.078
267,"Chiarello, 1999",Mazama americana and M. gouazoubira,Mammals,Herb,Atlantic forest,6.9,28.88,18.59,32,30,0.6,2.5,0.775,1.581,-1.426,0.065
268,"Chiarello, 1999",Nasua nasua,Mammals,Frug,Atlantic forest,6.9,28.88,3.79,32,30,0.3,0.15,0.548,0.387,0.693,0.326
269,"Chiarello, 1999",Sapajus apella,Mammals,Omn,Atlantic forest,6.9,28.88,2.5,32,30,1.51,2.47,1.229,1.572,-0.492,0.034
270,"Chiarello, 1999",Sciurus aestuans,Mammals,Frug,Atlantic forest,6.9,28.88,0.19,32,30,6.8,7.55,2.608,2.748,-0.104,0.009
271,"Chiarello, 1999",Sylvilagus brasiliensis,Mammals,Herb,Atlantic forest,6.9,28.88,0.95,32,30,0.57,1.98,0.755,1.407,-1.244,0.072
272,"Cronin, 2013",Cercopithecus erythrotis,Mammals,Frug,Tropical forest,0.1,7.84,3.92,21,12,0.7,0.97,0.837,0.985,-0.326,0.154
273,"Cronin, 2013",Cercopithecus erythrotis,Mammals,Frug,Tropical forest,2,7.84,3.92,20,12,0.42,0.97,0.837,0.985,-0.836,0.284
274,"Cronin, 2013",Cercopithecus erythrotis,Mammals,Frug,Tropical forest,4,7.84,3.92,18,12,0.58,0.97,0.762,0.985,-0.514,0.182
275,"Cronin, 2013",Cercopithecus pogonias,Mammals,Frug,Tropical forest,0.1,7.84,3.76,21,12,0.7,0.24,0.837,0.49,1.071,0.415
276,"Cronin, 2013",Cercopithecus pogonias,Mammals,Frug,Tropical forest,2,7.84,3.76,20,12,0.67,0.24,0.837,0.49,1.027,0.425
277,"Cronin, 2013",Cercopithecus pogonias,Mammals,Frug,Tropical forest,4,7.84,3.76,18,12,0.71,0.24,0.843,0.49,1.085,0.425
278,"Cronin, 2013",Colobus satanas,Mammals,Herb,Tropical forest,0.1,7.84,4.32,21,12,0.05,0.32,0.224,0.566,-1.855,1.213
279,"Cronin, 2013",Colobus satanas,Mammals,Herb,Tropical forest,2,7.84,4.32,20,12,0.15,0.32,0.224,0.566,-0.757,0.372
280,"Cronin, 2013",Colobus satanas,Mammals,Herb,Tropical forest,4,7.84,4.32,18,12,0.42,0.32,0.648,0.566,0.272,0.393
281,"Cronin, 2013",Mandrillus leucophaeus,Mammals,Frug,Tropical forest,0.1,7.84,15,21,12,0.05,0.16,0.224,0.4,-1.162,1.473
282,"Cronin, 2013",Mandrillus leucophaeus,Mammals,Frug,Tropical forest,2,7.84,15,20,12,0.11,0.16,0.224,0.4,-0.374,0.727
283,"Cronin, 2013",Mandrillus leucophaeus,Mammals,Frug,Tropical forest,4,7.84,15,18,12,0.15,0.16,0.387,0.4,-0.064,0.891
284,"Cronin, 2013",Procolobus pennantii,Mammals,Herb,Tropical forest,0.1,7.84,10.9,21,12,0.72,0.15,0.849,0.387,1.569,0.622
285,"Cronin, 2013",Procolobus pennantii,Mammals,Herb,Tropical forest,2,7.84,10.9,20,12,0.42,0.15,0.849,0.387,1.03,0.76
286,"Cronin, 2013",Procolobus pennantii,Mammals,Herb,Tropical forest,4,7.84,10.9,18,12,0.54,0.15,0.735,0.387,1.281,0.658
287,"Cronin, 2013",Cercopithecus erythrotis,Mammals,Frug,Tropical forest,0.1,7.84,3.92,12,10,1.04,0.64,1.02,0.8,0.486,0.236
288,"Cronin, 2013",Cercopithecus erythrotis,Mammals,Frug,Tropical forest,2,7.84,3.92,11,10,1.07,0.64,1.034,0.8,0.514,0.241
289,"Cronin, 2013",Cercopithecus nictitans,Mammals,Frug,Tropical forest,0.1,7.84,5.8,12,10,0.06,0.07,0.245,0.265,-0.154,2.817
290,"Cronin, 2013",Cercopithecus nictitans,Mammals,Frug,Tropical forest,2,7.84,5.8,11,10,0.03,0.07,0.173,0.265,-0.847,4.459
291,"Cronin, 2013",Cercopithecus pogonias,Mammals,Frug,Tropical forest,0.1,7.84,3.76,12,10,0.41,0.4,0.64,0.633,0.025,0.453
292,"Cronin, 2013",Cercopithecus pogonias,Mammals,Frug,Tropical forest,2,7.84,3.76,11,10,0.52,0.4,0.721,0.633,0.263,0.425
293,"Cronin, 2013",Colobus satanas,Mammals,Herb,Tropical forest,0.1,7.84,4.32,12,10,0.07,0.07,0.265,0.265,0,2.62
294,"Cronin, 2013",Mandrillus leucophaeus,Mammals,Frug,Tropical forest,0.1,7.84,15,12,10,0.09,0.07,0.3,0.265,0.252,2.355
295,"Cronin, 2013",Mandrillus leucophaeus,Mammals,Frug,Tropical forest,2,7.84,15,11,10,0.13,0.07,0.361,0.265,0.619,2.128
296,"Cronin, 2013",Procolobus pennantii,Mammals,Herb,Tropical forest,0.1,7.84,10.9,12,10,0.14,0.13,0.374,0.361,0.074,1.365
297,"Cronin, 2013",Procolobus pennantii,Mammals,Herb,Tropical forest,2,7.84,10.9,11,10,0.29,0.13,0.539,0.361,0.802,1.083
298,"Cronin, 2013",Cercopithecus erythrotis,Mammals,Frug,Tropical forest,2,7.84,3.92,10,6,0.09,0.38,0.3,0.616,-1.439,1.55
299,"Cronin, 2013",Cercopithecus erythrotis,Mammals,Frug,Tropical forest,4,7.84,3.92,8,6,0.09,0.38,0.3,0.616,-1.439,1.827
300,"Cullen Jr. et al., 2000; 2001",Crypturellus spp.,Birds,Frug,Atlantic deciduous forest,2.5,9.62,0.4,6,6,0.24,1.943,0.349,0.371,-2.081,0.358
301,"Cullen Jr. et al., 2000; 2001",Penelope superciliaris,Birds,Frug,Atlantic deciduous forest,2.5,9.62,0.9,6,6,1.863,6.18,0.49,1.27,-1.195,0.019
302,"Cullen Jr. et al., 2000; 2001",Alouatta guariba,Mammals,Herb,Atlantic deciduous forest,2.5,9.62,5.19,6,6,0.057,0.343,0.239,0.14,-1.793,2.952
303,"Cullen Jr. et al., 2000; 2001",Dasyprocta azarae,Mammals,Omn,Atlantic deciduous forest,2.5,9.62,2.31,6,6,0.011,1.33,0.105,0.23,-4.764,15.156
304,"Cullen Jr. et al., 2000; 2001",Dasypus novemcinctus,Mammals,Inver,Atlantic deciduous forest,2.5,9.62,4.2,6,6,0.406,0.014,0.35,0.017,3.346,0.359
305,"Cullen Jr. et al., 2000; 2001",Leontopithecus chrysopygus,Mammals,Omn,Atlantic deciduous forest,2.5,9.62,0.7,6,6,1.71,2.66,1.308,1.631,-0.441,0.16
306,"Cullen Jr. et al., 2000; 2001",Mazama americana and M. gouazoubira,Mammals,Herb,Atlantic deciduous forest,2.5,9.62,18.59,6,6,0.27,0.1,0.14,0.13,0.993,0.326
307,"Cullen Jr. et al., 2000; 2001",Nasua nasua,Mammals,Frug,Atlantic deciduous forest,2.5,9.62,3.79,6,6,1.979,0.279,0.75,0.22,1.959,0.128
308,"Cullen Jr. et al., 2000; 2001",Pecari tajacu,Mammals,Herb,Atlantic deciduous forest,2.5,9.62,21.27,6,6,3.43,4.26,1.21,1.5,-0.216,0.041
309,"Cullen Jr. et al., 2000; 2001",Sapajus apella,Mammals,Omn,Atlantic deciduous forest,2.5,9.62,2.5,6,6,18.857,7.314,1.77,1.43,0.947,0.008
310,"Cullen Jr. et al., 2000; 2001",Sciurus aestuans,Mammals,Frug,Atlantic deciduous forest,2.5,9.62,0.19,6,6,0.7,0.12,0.54,0.06,1.764,0.141
311,"Cullen Jr. et al., 2000; 2001",Tapirus terrestris,Mammals,Herb,Atlantic deciduous forest,2.5,9.62,207.5,6,6,0.191,0.129,0.061,0.051,0.393,0.043
312,"Cullen Jr. et al., 2000; 2001",Tayassu pecari,Mammals,Frug,Atlantic deciduous forest,2.5,9.62,32.23,6,6,9.43,6.43,2.86,3.229,0.383,0.057
313,"Cullen Jr. et al., 2000; 2001",Crypturellus spp.,Birds,Frug,Atlantic deciduous forest,2.5,11.17,0.4,6,6,1.086,1.943,0.211,0.371,-0.58,0.012
314,"Cullen Jr. et al., 2000; 2001",Penelope superciliaris,Birds,Frug,Atlantic deciduous forest,2.5,11.17,0.9,6,6,1.667,6.18,0.353,1.27,-1.306,0.015
315,"Cullen Jr. et al., 2000; 2001",Alouatta guariba,Mammals,Herb,Atlantic deciduous forest,2.5,11.17,5.19,6,6,7.286,0.343,1.17,0.14,3.056,0.032
316,"Cullen Jr. et al., 2000; 2001",Dasyprocta azarae,Mammals,Omn,Atlantic deciduous forest,2.5,11.17,2.31,6,6,0.069,1.33,0.06,0.23,-2.954,0.131
317,"Cullen Jr. et al., 2000; 2001",Dasypus novemcinctus,Mammals,Inver,Atlantic deciduous forest,2.5,11.17,4.2,6,6,0.283,0.014,0.16,0.017,2.985,0.289
318,"Cullen Jr. et al., 2000; 2001",Leontopithecus chrysopygus,Mammals,Omn,Atlantic deciduous forest,2.5,11.17,0.7,6,6,0.25,2.66,0.5,1.631,-2.362,0.729
319,"Cullen Jr. et al., 2000; 2001",Mazama americana and M. gouazoubira,Mammals,Herb,Atlantic deciduous forest,2.5,11.17,18.59,6,6,0.28,0.1,0.06,0.13,1.03,0.289
320,"Cullen Jr. et al., 2000; 2001",Nasua nasua,Mammals,Frug,Atlantic deciduous forest,2.5,11.17,3.79,6,6,1.864,0.279,0.46,0.22,1.899,0.114
321,"Cullen Jr. et al., 2000; 2001",Pecari tajacu,Mammals,Herb,Atlantic deciduous forest,2.5,11.17,21.27,6,6,0.057,4.26,0.43,1.5,-4.295,9.506
322,"Cullen Jr. et al., 2000; 2001",Sapajus apella,Mammals,Omn,Atlantic deciduous forest,2.5,11.17,2.5,6,6,6.8,7.314,1.14,1.43,-0.073,0.011
323,"Cullen Jr. et al., 2000; 2001",Sciurus aestuans,Mammals,Frug,Atlantic deciduous forest,2.5,11.17,0.19,6,6,1.264,0.12,0.13,0.06,2.355,0.043
324,"Cullen Jr. et al., 2000; 2001",Tapirus terrestris,Mammals,Herb,Atlantic deciduous forest,2.5,11.17,207.5,6,6,0.128,0.129,0.11,0.051,-0.008,0.149
325,"Cullen Jr. et al., 2000; 2001",Tayassu pecari,Mammals,Frug,Atlantic deciduous forest,2.5,11.17,32.23,6,6,0.57,6.43,1.09,3.229,-2.42,0.651
326,"Cullen Jr. et al., 2000; 2001",Crypturellus spp.,Birds,Frug,Atlantic deciduous forest,2.5,18.45,0.4,6,6,1.886,1.943,0.446,0.371,-0.029,0.015
327,"Cullen Jr. et al., 2000; 2001",Penelope superciliaris,Birds,Frug,Atlantic deciduous forest,2.5,18.45,0.9,6,6,3.922,6.18,0.588,1.27,-0.453,0.011
328,"Cullen Jr. et al., 2000; 2001",Alouatta guariba,Mammals,Herb,Atlantic deciduous forest,2.5,18.45,5.19,6,6,3.77,0.343,1,0.14,2.397,0.039
329,"Cullen Jr. et al., 2000; 2001",Dasyprocta azarae,Mammals,Omn,Atlantic deciduous forest,2.5,18.45,2.31,6,6,0.903,1.33,0.17,0.23,-0.387,0.011
330,"Cullen Jr. et al., 2000; 2001",Dasypus novemcinctus,Mammals,Inver,Atlantic deciduous forest,2.5,18.45,4.2,6,6,0.157,0.014,0.13,0.017,2.396,0.35
331,"Cullen Jr. et al., 2000; 2001",Leontopithecus chrysopygus,Mammals,Omn,Atlantic deciduous forest,2.5,18.45,0.7,6,6,1,2.66,1,1.631,-0.978,0.229
332,"Cullen Jr. et al., 2000; 2001",Nasua nasua,Mammals,Frug,Atlantic deciduous forest,2.5,18.45,3.79,6,6,0.193,0.279,0.15,0.22,-0.368,0.204
333,"Cullen Jr. et al., 2000; 2001",Pecari tajacu,Mammals,Herb,Atlantic deciduous forest,2.5,18.45,21.27,6,6,0.53,4.26,0.4,1.5,-2.082,0.116
334,"Cullen Jr. et al., 2000; 2001",Sapajus apella,Mammals,Omn,Atlantic deciduous forest,2.5,18.45,2.5,6,6,6.4,7.314,2.17,1.43,-0.133,0.026
335,"Cullen Jr. et al., 2000; 2001",Sciurus aestuans,Mammals,Frug,Atlantic deciduous forest,2.5,18.45,0.19,6,6,0.02,0.12,0.036,0.06,-1.79,0.582
336,"Cullen Jr. et al., 2000; 2001",Penelope superciliaris,Birds,Frug,Atlantic deciduous forest,2.5,31.98,0.9,6,6,1.216,6.18,0.392,1.27,-1.619,0.024
337,"Cullen Jr. et al., 2000; 2001",Alouatta guariba,Mammals,Herb,Atlantic deciduous forest,2.5,31.98,5.19,6,6,5.371,0.343,1.43,0.14,2.751,0.04
338,"Cullen Jr. et al., 2000; 2001",Dasyprocta azarae,Mammals,Omn,Atlantic deciduous forest,2.5,31.98,2.31,6,6,0.114,1.33,0.16,0.23,-2.454,0.333
339,"Cullen Jr. et al., 2000; 2001",Leontopithecus chrysopygus,Mammals,Omn,Atlantic deciduous forest,2.5,31.98,0.7,6,6,3.66,2.66,1.913,1.631,0.319,0.108
340,"Cullen Jr. et al., 2000; 2001",Nasua nasua,Mammals,Frug,Atlantic deciduous forest,2.5,31.98,3.79,6,6,0.679,0.279,0.82,0.22,0.89,0.347
341,"Cullen Jr. et al., 2000; 2001",Pecari tajacu,Mammals,Herb,Atlantic deciduous forest,2.5,31.98,21.27,6,6,3.86,4.26,1.09,1.5,-0.098,0.034
342,"Cullen Jr. et al., 2000; 2001",Sapajus apella,Mammals,Omn,Atlantic deciduous forest,2.5,31.98,2.5,6,6,8.57,7.314,1.71,1.43,0.159,0.013
343,"Cullen Jr. et al., 2000; 2001",Sciurus aestuans,Mammals,Frug,Atlantic deciduous forest,2.5,31.98,0.19,6,6,0.32,0.12,0.23,0.06,0.981,0.128
344,"Dasgupta and Hilaluddin, 2012",Ducula aenea,Birds,Frug,Tropical forest,1.2,4.37,0.55,4,4,5.22,7.79,6.847,10.071,-0.398,0.848
345,"Dasgupta and Hilaluddin, 2012",Ducula badia,Birds,Frug,Tropical forest,1.2,4.37,0.49,4,4,91.33,55.05,36.502,36.504,0.507,0.15
346,"Dasgupta and Hilaluddin, 2012",Aceros undulatus,Birds,Frug,Tropical forest,1.2,4.37,2.21,2,4,5.11,15.14,2.387,7.231,-1.082,0.166
347,"Dasgupta and Hilaluddin, 2012",Anthracoceros albirostris,Birds,Frug,Tropical forest,1.2,4.37,0.89,2,4,5.32,19.48,2.456,6.85,-1.293,0.138
348,"Dasgupta and Hilaluddin, 2012",Buceros bicornis,Birds,Frug,Tropical forest,1.2,4.37,2.79,2,4,3.1,11.95,2.524,6.342,-1.344,0.402
349,"Davies et al., 2008",Cercopithecus campbelli,Mammals,Frug,Tropical forest,0.98,3.82,4.1,1,1,56,41.5,7.483,6.442,0.3,0.042
350,"Davies et al., 2008",Cercopithecus diana,Mammals,Omn,Tropical forest,0.98,3.82,4.18,1,1,75,55.6,8.66,7.457,0.299,0.031
